ModelName;EpochBest;EpochsTotal;Sparse;Score
cifar10_loss_01_no;18;20;nodes_topk_0.0-0.6;0.657352
cifar10_loss_01;19;20;nodes_topk_0.0-0.6;0.633914
cifar10_loss_01_no;15;20;nodes_topk_0.0-0.6;0.662059
cifar10_loss_01;15;20;nodes_topk_0.0-0.6;0.654547
fashionmnist_:nodes_sample_0.3-0.3:_no;20;20;nodes_sample_0.3-0.3;0.902344
fashionmnist_:nodes_sample_0.3-0.3:;19;20;nodes_sample_0.3-0.3;0.757913
cifar10_loss_001_no;16;20;nodes_topk_0.0-0.6;0.663662
cifar10_loss_001;16;20;nodes_topk_0.0-0.6;0.657953
fashionmnist_:nodes_random_0.3-0.3:_no;20;20;nodes_random_0.3-0.3;0.904247
fashionmnist_:nodes_random_0.3-0.3:;3;20;nodes_random_0.3-0.3;0.472256
cifar10_loss_001_no;14;20;nodes_topk_0.0-0.6;0.656651
cifar10_loss_001;12;20;nodes_topk_0.0-0.6;0.651843
fashionmnist_:none:;10;20;none;0.901442
fashionmnist_:edges_topk_0.3-0.3:_no;10;20;edges_topk_0.3-0.3;0.896935
fashionmnist_:edges_topk_0.3-0.3:;13;20;edges_topk_0.3-0.3;0.901643
fashionmnist_:none:;17;20;none;0.904347
fashionmnist_:nodes_topk_0.3-0.3:_no;14;20;nodes_topk_0.3-0.3;0.901743
fashionmnist_:nodes_topk_0.3-0.3:;14;20;nodes_topk_0.3-0.3;0.899639
fashionmnist_:nodes_topk_0.3-0.3:_no;20;20;nodes_topk_0.3-0.3;0.902644
fashionmnist_:nodes_topk_0.3-0.3:;17;20;nodes_topk_0.3-0.3;0.905248
fashionmnist_:edges_sample_0.3-0.3:_no;16;20;edges_sample_0.3-0.3;0.900841
fashionmnist_:edges_sample_0.3-0.3:;10;20;edges_sample_0.3-0.3;0.898938
fashionmnist_:nodes_sample_0.3-0.3:_no;14;20;nodes_sample_0.3-0.3;0.905048
fashionmnist_:nodes_sample_0.3-0.3:;19;20;nodes_sample_0.3-0.3;0.748097
fashionmnist_:nodes_sample_0.3-0.3:_no;20;20;nodes_sample_0.3-0.3;0.907051
fashionmnist_:nodes_sample_0.3-0.3:;20;20;nodes_sample_0.3-0.3;0.7498
fashionmnist_:edges_random_0.3-0.3:_no;14;20;edges_random_0.3-0.3;0.902143
fashionmnist_:edges_random_0.3-0.3:;11;20;edges_random_0.3-0.3;0.896434
fashionmnist_:nodes_random_0.3-0.3:_no;14;20;nodes_random_0.3-0.3;0.903045
fashionmnist_:nodes_random_0.3-0.3:;7;20;nodes_random_0.3-0.3;0.471655
fashionmnist_:nodes_random_0.3-0.3:_no;19;20;nodes_random_0.3-0.3;0.904147
fashionmnist_:nodes_random_0.3-0.3:;12;20;nodes_random_0.3-0.3;0.476863
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;14;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.904547
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;19;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.895733
fashionmnist_:edges_topk_0.3-0.3:_no;12;20;edges_topk_0.3-0.3;0.903045
fashionmnist_:edges_topk_0.3-0.3:;14;20;edges_topk_0.3-0.3;0.904848
fashionmnist_:edges_topk_0.3-0.3:_no;13;20;edges_topk_0.3-0.3;0.903045
fashionmnist_:edges_topk_0.3-0.3:;13;20;edges_topk_0.3-0.3;0.903946
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:_no;16;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.904147
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:;19;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.558594
