ModelName;EpochBest;EpochsTotal;Sparse;Score
mnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:;10;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.595954
mnist_:edges_sample_0.3-0.3:_no;9;20;edges_sample_0.3-0.3;0.993289
mnist_:edges_sample_0.3-0.3:;20;20;edges_sample_0.3-0.3;0.992087
mnist_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:_no;16;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.991887
mnist_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:;16;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.814904
mnist_:edges_random_0.3-0.3:_no;10;20;edges_random_0.3-0.3;0.992588
mnist_:edges_random_0.3-0.3:;20;20;edges_random_0.3-0.3;0.990785
mnist_:edges_random_0.0-0.3:_no;13;20;edges_random_0.0-0.3;0.991587
mnist_:edges_random_0.0-0.3:;20;20;edges_random_0.0-0.3;0.992688
mnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;17;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.99359
mnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;19;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.988682
mnist_:nodes_topk_0.0-0.3:_no;15;20;nodes_topk_0.0-0.3;0.992288
mnist_:nodes_topk_0.0-0.3:;15;20;nodes_topk_0.0-0.3;0.992488
mnist_:edges_random_0.0-0.6:_no;11;20;edges_random_0.0-0.6;0.992087
mnist_:edges_random_0.0-0.6:;15;20;edges_random_0.0-0.6;0.986478
mnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:_no;13;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.992889
mnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:;15;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.602664
mnist_:nodes_topk_0.0-0.6:_no;19;20;nodes_topk_0.0-0.6;0.992288
mnist_:nodes_topk_0.0-0.6:;18;20;nodes_topk_0.0-0.6;0.992087
mnist_loss_01_no;9;20;nodes_topk_0.0-0.6;0.988982
mnist_loss_01;10;20;nodes_topk_0.0-0.6;0.986879
mnist_loss_001_no;20;20;nodes_topk_0.0-0.6;0.991787
mnist_loss_001;19;20;nodes_topk_0.0-0.6;0.992889
mnist_:edges_random_0.0-0.3:_no;18;20;edges_random_0.0-0.3;0.992087
mnist_:edges_random_0.0-0.3:;18;20;edges_random_0.0-0.3;0.992588
mnist_:nodes_topk_0.0-0.3:_no;16;20;nodes_topk_0.0-0.3;0.991286
mnist_:nodes_topk_0.0-0.3:;8;20;nodes_topk_0.0-0.3;0.990485
cifar10_:none:;9;20;none;0.650741
mnist_:edges_random_0.0-0.6:_no;17;20;edges_random_0.0-0.6;0.99349
mnist_:edges_random_0.0-0.6:;12;20;edges_random_0.0-0.6;0.985076
cifar10_:nodes_topk_0.3-0.3:_no;10;20;nodes_topk_0.3-0.3;0.663962
cifar10_:nodes_topk_0.3-0.3:;10;20;nodes_topk_0.3-0.3;0.652544
mnist_:nodes_topk_0.0-0.6:_no;13;20;nodes_topk_0.0-0.6;0.991887
mnist_:nodes_topk_0.0-0.6:;17;20;nodes_topk_0.0-0.6;0.991186
cifar10_:nodes_sample_0.3-0.3:_no;14;20;nodes_sample_0.3-0.3;0.661558
cifar10_:nodes_sample_0.3-0.3:;18;20;nodes_sample_0.3-0.3;0.522536
mnist_loss_01_no;13;20;nodes_topk_0.0-0.6;0.990184
mnist_loss_01;19;20;nodes_topk_0.0-0.6;0.991486
cifar10_:nodes_random_0.3-0.3:_no;19;20;nodes_random_0.3-0.3;0.669872
cifar10_:nodes_random_0.3-0.3:;13;20;nodes_random_0.3-0.3;0.382612
mnist_loss_001_no;6;20;nodes_topk_0.0-0.6;0.993189
mnist_loss_001;6;20;nodes_topk_0.0-0.6;0.992087
cifar10_:edges_topk_0.3-0.3:_no;8;20;edges_topk_0.3-0.3;0.643429
cifar10_:edges_topk_0.3-0.3:;8;20;edges_topk_0.3-0.3;0.65014
cifar10_:none:;12;20;none;0.642728
cifar10_:nodes_topk_0.3-0.3:_no;11;20;nodes_topk_0.3-0.3;0.666366
cifar10_:nodes_topk_0.3-0.3:;11;20;nodes_topk_0.3-0.3;0.653946
cifar10_:edges_sample_0.3-0.3:_no;11;20;edges_sample_0.3-0.3;0.661258
